ID,Country,Country code,GDP per capita in USD,Sex,Mean height of 19-year-olds in cm
314,Uruguay,URY,16190.126957465,Boys,174.3233096
315,Uruguay,URY,16190.126957465,Girls,161.5584634
316,Uzbekistan,UZB,1724.8411344137,Boys,170.9421714
317,Uzbekistan,UZB,1724.8411344137,Girls,160.2883173
318,Vanuatu,VUT,3115.35862043261,Boys,168.2940483
319,Vanuatu,VUT,3115.35862043261,Girls,160.4836304
320,Samoa,WSM,4324.01401840457,Boys,174.4168439
321,Samoa,WSM,4324.01401840457,Girls,163.8159608
322,South Africa,ZAF,6001.40081394888,Boys,169.6258335
323,South Africa,ZAF,6001.40081394888,Girls,158.5787176
324,Zambia,ZMB,1305.06325350544,Boys,167.6155929
325,Zambia,ZMB,1305.06325350544,Girls,157.3152177
326,Zimbabwe,ZWE,1463.98591018054,Boys,170.6857544
327,Zimbabwe,ZWE,1463.98591018054,Girls,159.8490637
